"","sexo","id_ent","espT","pstd","taes"
"1",2,23,170605.664846879,58453636.4012403,291.864929798036
"2",1,23,155060.823785088,55801919.0474361,277.877224353654
"3",2,5,137711.497442024,58453636.4012403,235.590984445754
"4",1,5,125290.870351436,55801919.0474361,224.527888090962
"5",2,27,127802.023116205,58453636.4012403,218.638276392148
"6",2,4,119443.437671576,58453636.4012403,204.338763206598
"7",1,4,101770.037153372,55801919.0474361,182.377306893083
"8",1,27,99084.3791381711,55801919.0474361,177.564465218376
"9",1,3,93872.0473795785,55801919.0474361,168.22369012037
"10",1,29,92288.4566071882,55801919.0474361,165.385811424757
"11",2,10,96548.6136635654,58453636.4012403,165.171270100001
"12",1,10,88325.8885702412,55801919.0474361,158.284679233266
"13",2,3,91653.2462619345,58453636.4012403,156.796483340752
"14",2,29,90791.0026333196,58453636.4012403,155.321393540186
"15",2,8,90142.1407301844,58453636.4012403,154.211348138251
"16",2,31,89811.0217262533,58453636.4012403,153.644883801186
"17",1,28,81616.6561945559,55801919.0474361,146.261378798058
"18",1,9,79548.1341519557,55801919.0474361,142.554477533888
"19",1,8,77779.1722948783,55801919.0474361,139.384404018005
"20",2,28,79560.2350751853,58453636.4012403,136.108273109074
"21",1,6,75844.8501034911,55801919.0474361,135.917996008375
"22",2,7,78869.0223529309,58453636.4012403,134.925775723437
"23",1,31,74880.0408605953,55801919.0474361,134.189006648573
"24",1,14,72833.4303901922,55801919.0474361,130.521372084494
"25",2,24,73445.5126208452,58453636.4012403,125.647465483066
"26",1,24,68706.2189218016,55801919.0474361,123.125190127235
"27",1,1,68353.1740107191,55801919.0474361,122.492514912638
"28",1,11,68099.0996377072,55801919.0474361,122.037200154026
"29",2,30,71010.1714586312,58453636.4012403,121.481187194582
"30",2,11,69412.1116996836,58453636.4012403,118.747294391099
"31",2,25,68613.6231982282,58453636.4012403,117.381274155892
"32",2,16,67928.8798283223,58453636.4012403,116.209844263651
"33",1,16,64108.6900509409,55801919.0474361,114.886174427878
"34",1,2,63945.3162231,55801919.0474361,114.593399859136
"35",1,26,63829.5138396258,55801919.0474361,114.385875843026
"36",2,32,66338.6759294586,58453636.4012403,113.489390932146
"37",2,26,66042.5704467103,58453636.4012403,112.982826240916
"38",1,12,59732.4903381237,55801919.0474361,107.043792324322
"39",1,30,59254.6925402438,55801919.0474361,106.187553316711
"40",1,25,58672.1219924701,55801919.0474361,105.143555981639
"41",1,17,57913.0531379042,55801919.0474361,103.78326431511
"42",2,1,59983.4342180987,58453636.4012403,102.617113170441
"43",1,19,56879.1530914435,55801919.0474361,101.930460569092
"44",1,32,56115.3181039119,55801919.0474361,100.561627739378
"45",2,14,58372.0688090153,58453636.4012403,99.8604576254845
"46",2,6,58303.3615376485,58453636.4012403,99.7429161420167
"47",1,21,55355.42207213,55801919.0474361,99.1998537273844
"48",2,9,56056.0190191616,58453636.4012403,95.8982579533276
"49",1,18,52238.8249432425,55801919.0474361,93.6147462936451
"50",2,12,54561.5981066145,58453636.4012403,93.3416660891551
"51",2,21,54444.6260320448,58453636.4012403,93.1415552290423
"52",1,13,50917.2612052429,55801919.0474361,91.2464339478346
"53",2,18,52202.6565193999,58453636.4012403,89.306088950682
"54",2,13,52035.896294019,58453636.4012403,89.0208026354968
"55",2,2,51063.9873506588,58453636.4012403,87.3581020693784
"56",2,17,50595.0289052089,58453636.4012403,86.5558278665711
"57",1,22,48140.3418894217,55801919.0474361,86.2700471797369
"58",1,7,47647.5929601847,55801919.0474361,85.3870149513683
"59",2,19,47901.3443819809,58453636.4012403,81.9475867218494
"60",1,15,45521.7383088744,55801919.0474361,81.5773706100992
"61",2,20,44193.2436726273,58453636.4012403,75.603925424372
"62",1,20,41662.6005620381,55801919.0474361,74.6615909869006
"63",2,15,39395.020733824,58453636.4012403,67.3953292886806
"64",2,22,35441.9959098069,58453636.4012403,60.6326622120209
